Id,Symbol,Name,DisplaySymbol,Exchange,Portfolio,Currency,Quantity,Cost Per Share,Cost Basis Method,Commission,Date,TimeOfDay,PurchaseFX,Type,Method,Method Execution Ids,Notes        
"142","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","500","3.77","0","0","2021-01-12 GMT+0100","19:16:00",,"Sell","FIFO",,
"143","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","100","3.57","0","0","2021-01-22 GMT+0100","21:57:00",,"Buy",,,
        
"144","GOLL4.SA","Gol Pn N2",,"SAO","Bovespa","BRL",,,,,,,,,,,
"145","GOLL4.SA","Gol Pn N2",,"SAO","Bovespa","BRL","100","22.09","0","0","2020-03-04 GMT+0100","04:00:00",,"Buy",,,
"146","GOLL4.SA","Gol Pn N2",,"SAO","Bovespa","BRL","100","16.18","0","0","2020-03-10 GMT+0100","04:00:00",,"Buy",,,
"147","GOLL4.SA","Gol Pn N2",,"SAO","Bovespa","BRL","100","7.65","0","0","2020-03-19 GMT+0100","04:00:00",,"Buy",,,
        
"148","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL",,,,,,,,,,,
"149","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL","100","19.16","0","0","2020-03-15 GMT+0100","04:00:00",,"Buy",,,
"150","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL","100","14.65","0","0","2020-03-31 GMT+0200","05:00:00",,"Buy",,,
"151","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL","100","14.19","0","0","2020-04-26 GMT+0200","05:00:00",,"Buy",,,
"152","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL","100","11.11","0","0","2020-05-14 GMT+0200","05:00:00",,"Buy",,,
        
"153","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL",,,,,,,,,,,
"154","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL","100","6.26","0","0","2020-05-12 GMT+0200","05:00:00",,"Buy",,,
"155","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL","900","6.44","0","0","2020-05-17 GMT+0200","05:00:00",,"Buy",,,
"156","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL","300","6.8","0","0","2020-09-16 GMT+0200","16:05:00",,"Buy",,,
"157","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL","300","6.4","0","0","2020-09-21 GMT+0200","16:57:00",,"Buy",,,
"158","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL","200","6.16","0","0","2020-09-23 GMT+0200","19:45:00",,"Buy",,,
"159","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL","200","5.8","0","0","2020-10-29 GMT+0100","14:24:00",,"Buy",,,
"160","EMBR3.SA","Embraer On Nm",,"SAO","Bovespa","BRL","300","5.89","0","0","2020-10-30 GMT+0100","16:27:00",,"Buy",,,
        
"161","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL",,,,,,,,,,,
"162","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","300","6.83","0","0","2020-01-30 GMT+0100","04:00:00",,"Buy",,,
"163","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","100","4.27","0","0","2020-04-23 GMT+0200","05:00:00",,"Buy",,,
"164","CIEL3.SA","Cielo On Nm",,"SAO","Bovespa","BRL","100","3.57","0","0","2020-05-12 GMT+0200","05:00:00",,"Buy",,,
        
"165","BBDC4.SA","Bradesco Pn N1",,"SAO","Bovespa","BRL",,,,,,,,,,,
"166","BBDC4.SA","Bradesco Pn N1",,"SAO","Bovespa","BRL","100","21.69","0","0","2020-06-11 GMT+0200","05:00:00",,"Buy",,,
        
"167","GOLL4.SA","Gol Pn N2",,"SAO","Bovespa","BRL",,,,,,,,,,,
"168","GOLL4.SA","Gol Pn N2",,"SAO","Bovespa","BRL","100","22.09","0","0","2020-03-05 GMT+0100","04:00:00",,"Buy",,,
"169","GOLL4.SA","Gol Pn N2",,"SAO","Bovespa","BRL","100","16.18","0","0","2020-03-11 GMT+0100","04:00:00",,"Buy",,,
"170","GOLL4.SA","Gol Pn N2",,"SAO","Bovespa","BRL","100","7.65","0","0","2020-03-20 GMT+0100","04:00:00",,"Buy",,,
        
"171","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL",,,,,,,,,,,
"172","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL","100","19.16","0","0","2020-03-16 GMT+0100","04:00:00",,"Buy",,,
"173","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL","100","14.65","0","0","2020-04-01 GMT+0200","05:00:00",,"Buy",,,
"174","AZUL4.SA","Azul Pn N2",,"SAO","Bovespa","BRL","100","14.19","0","0","2020-04-27 GMT+0200","05:00:00",,"Buy",,,
